"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2","fwhm0","fwhm1"
3.0,1.0,10133.552461328636,7540.537158950068,588.84,588.84,77373.0,0.5443,8.3445,699.03,0.0,148.0,75.848,2.3953,700.91,937.91,1262.3
6.0,1.0,11014.552461328636,10839.63715895007,393.6,393.6,15290.0,0.10001,19.227,698.07,0.0,-117.0,175.5,1.5045,700.11,701.32,594.57
11.0,1.0,13683.552461328636,18161.637158950067,143.79,143.79,1571.3,717.19,23.331,698.42,0.0,91.0,212.59,-1.938,700.97,454.18,555.18
13.0,2.0,4012.454689554424,8823.332330714124,503.27,503.27,44747.0,435.33,10.713,702.6,0.0,183.0,97.389,1.1046,703.34,555.03,789.2
17.0,2.0,8651.154689554423,11699.632330714123,192.2,192.2,3274.2,754.0,22.469,701.04,0.0,-447.0,205.58,0.868,702.65,737.47,439.53
21.0,2.0,9365.454689554423,16621.63233071412,163.78,163.78,1333.0,728.03,36.936,697.04,0.0,-70.0,336.89,-1.1864,698.79,602.56,552.98
30.0,3.0,6664.556917780211,14142.627502478175,183.14,183.14,1722.0,748.48,30.72,698.48,0.0,85.0,279.97,0.55685,699.72,430.35,520.58
31.0,3.0,11686.556917780212,14961.627502478175,204.49,204.49,3116.4,466.04,24.753,694.29,0.0,346.0,225.14,0.38135,696.46,435.33,759.73
45.0,5.0,3996.6613742317854,8835.617846006282,587.53,587.53,62825.0,316.01,12.056,699.3,0.0,395.0,109.29,1.0965,700.04,527.02,960.29
55.0,5.0,11702.561374231784,14909.617846006282,155.56,155.56,1927.0,17.146,22.67,694.67,0.0,24.0,206.66,0.76982,696.85,580.2,630.26
59.0,6.0,4794.263602457573,7567.213017770335,558.7,558.7,48032.0,369.49,14.342,700.74,0.0,164.0,130.51,0.13831,701.63,362.28,499.82
63.0,6.0,10364.563602457572,11707.613017770334,139.25,139.25,2461.5,859.33,15.338,702.2,0.0,10.0,139.83,-0.69636,704.13,334.63,354.27
66.0,6.0,11753.563602457572,14887.613017770334,228.43,228.43,5996.7,719.52,16.36,697.14,0.0,-35.0,149.23,-0.08446,699.32,528.21,515.58
68.0,6.0,4965.563602457573,16488.613017770334,541.07,541.07,46393.0,0.73823,10.71,695.7,0.0,-384.0,98.264,-2.1806,696.62,453.86,280.19
86.0,8.0,7514.568058909147,7766.403361298441,489.86,489.86,28207.0,728.8,15.798,693.89,0.0,43.0,143.98,0.27874,695.29,524.93,589.89
91.0,8.0,11970.568058909146,14022.60336129844,170.92,170.92,2069.1,744.21,23.647,693.9,0.0,1.0,215.61,-1.0037,696.13,416.05,433.41
92.0,8.0,11713.568058909146,14757.60336129844,172.01,172.01,2236.3,734.99,21.863,698.41,0.0,-319.0,199.86,-0.38744,700.59,816.66,531.23
102.0,9.0,11909.570287134935,14123.598533062495,350.78,350.78,9854.0,768.98,21.513,697.45,0.0,-48.0,196.23,-0.93456,699.67,617.93,589.68
113.0,10.0,11841.572515360722,14210.593704826546,287.61,287.61,4952.8,752.3,30.524,701.52,0.0,-515.0,279.14,-2.5394,703.73,1030.1,599.96
114.0,10.0,6635.172515360722,14215.593704826546,251.78,251.78,6644.9,757.26,18.538,698.01,0.0,-211.0,169.36,-1.1358,699.24,591.71,435.04
122.0,11.0,8718.474743586508,11739.5888765906,161.39,161.39,2032.0,89.083,22.002,698.06,0.0,236.0,200.24,0.07821,699.68,292.4,448.64
132.0,12.0,12572.576971812296,12247.584048354653,140.38,140.38,1279.1,576.71,30.158,696.73,0.0,-120.0,275.17,-0.37784,699.07,551.89,465.48
140.0,13.0,10849.579200038084,10325.579220118705,161.98,161.98,2712.1,836.81,18.019,698.94,0.0,77.0,164.17,0.0051486,700.96,503.44,601.11
151.0,14.0,9278.98142826387,7947.07439188276,198.3,198.3,2871.5,120.84,24.623,693.05,0.0,165.0,224.25,0.14947,694.78,581.34,803.28
162.0,14.0,4979.681428263872,14895.57439188276,314.01,314.01,5435.3,659.65,28.186,694.26,0.0,128.0,256.79,0.38719,695.19,384.53,501.03
182.0,16.0,12592.585884715447,12305.564735410866,268.47,268.47,6129.2,583.67,23.353,700.97,0.0,-88.0,213.07,-1.068,703.31,507.65,452.07
183.0,16.0,9662.485884715446,13098.564735410866,272.16,272.16,7594.8,69.709,20.869,701.68,0.0,298.0,189.81,-1.7894,703.48,382.95,635.47
190.0,17.0,8856.788112941234,9474.159907174919,365.24,365.24,9403.5,800.81,23.605,700.1,0.0,-38.0,215.29,0.49288,701.75,649.38,630.52
193.0,17.0,8257.588112941234,9771.75990717492,1328.6,1328.6,779390.0,1.904,4.6987,701.79,0.0,-34.0,42.897,0.85885,703.32,577.17,564.77
196.0,17.0,2747.488112941233,11892.559907174918,348.64,348.64,10460.0,490.42,16.684,694.24,0.0,-119.0,152.31,0.11669,694.75,501.97,424.43
