id,frame,x [nm],y [nm],z [nm],centroid [nm]
16582,1,4225.1,9242.4,-505,700
16583,1,5787.1,2432.3,-495,700
16584,1,3126.8,9807.7,-465,700
16585,1,1677.4,8699.3,-455,700
16586,1,802.87,6050.9,-445,700
16587,1,7541.4,2986.3,-435,700
16588,1,1161,5525,-435,700
16589,1,1033.2,8559.8,-435,700
16590,1,2157.4,8745,-435,700
16591,1,1508.4,8761.5,-435,700
16592,1,7703.3,3780.9,-425,700
16593,1,6561.8,10738,-425,700
16594,1,3250.6,5692.1,-415,700
16595,1,7912.9,5542,-405,700
16596,1,7069.8,6930.2,-405,700
16597,1,6440.7,2314.8,-385,700
16598,1,7202.1,3744.1,-385,700
16599,1,2023.5,4973.5,-385,700
16600,1,2889.2,2937.9,-375,700
16601,1,6393.6,4228,-375,700
16602,1,4003.6,8550.6,-375,700
16603,1,2855.2,11009,-375,700
16604,1,5560.4,8353.2,-365,700
16605,1,7204.3,7629.3,-355,700
16606,1,2398.4,2499.9,-345,700
16607,1,1513,8297.6,-345,700
16608,1,2436.4,4703.6,-335,700
16609,1,6844.2,10021,-335,700
16610,1,2720.3,10348,-325,700
16611,1,4236.6,10997,-325,700
16612,1,6244.3,2108.3,-315,700
16613,1,2772.9,6056.9,-305,700
16614,1,5388.5,7823.5,-305,700
16615,1,3390.8,11970,-305,700
16616,1,8206.4,4757.6,-295,700
16617,1,3071.5,8032.1,-295,700
16618,1,4964.4,8315.2,-295,700
16619,1,4327.4,9937.8,-295,700
16620,1,6891,2838.7,-285,700
16621,1,7912.2,3268.4,-285,700
16622,1,2831.1,5462.5,-285,700
16623,1,6057,8250,-285,700
16624,1,3749.9,9090,-285,700
16625,1,5054.3,11163,-285,700
16626,1,3661.9,11552,-285,700
16627,1,3005.3,11985,-285,700
16628,1,4183.7,1600.6,-275,700
16629,1,1933.8,4657,-275,700
16630,1,2863.4,5617.1,-275,700
16631,1,1709.3,8564.7,-275,700
16632,1,4387.4,12294,-275,700
16633,1,1717.6,4390.8,-265,700
16634,1,2798.2,8673.8,-265,700
16635,1,6010.2,9221.6,-265,700
16636,1,7172.7,9441.9,-265,700
16637,1,1365.3,4776.5,-255,700
16638,1,2310.8,5378.2,-255,700
16639,1,2264.3,10129,-255,700
16640,1,5455,10474,-255,700
16641,1,1387.6,8071.6,-245,700
16642,1,2484.5,9153.4,-245,700
16643,1,4691,9887.9,-245,700
16644,1,6819.4,10453,-245,700
16645,1,2993.6,10786,-245,700
16646,1,7230.4,2311.4,-235,700
16647,1,4302.4,5699.5,-235,700
16648,1,3824.8,6087.5,-235,700
16649,1,8239.9,6694.6,-235,700
16650,1,3465.8,7351.3,-235,700
16651,1,6032.2,8336.1,-235,700
16652,1,4067.5,10145,-235,700
16653,1,6484.8,1667.9,-225,700
16654,1,992.56,4368.9,-225,700
16655,1,1776.8,5029,-225,700
16656,1,6424.7,8102.7,-225,700
16657,1,5535.4,1313.5,-215,700
16658,1,5346.6,3406.8,-215,700
16659,1,7169.9,7540.7,-215,700
16660,1,6439,8632.1,-215,700
16661,1,6432.9,9299.4,-215,700
16662,1,2333.6,10697,-215,700
16663,1,5709.2,11563,-215,700
16664,1,6599.5,4228,-205,700
16665,1,8435.7,5446.2,-205,700
16666,1,8423.8,5507.8,-205,700
16667,1,1171.7,5743.8,-205,700
16668,1,3937.8,5995.8,-205,700
16669,1,1515.9,7378.8,-205,700
16670,1,3045.9,4136.8,-195,700
16671,1,1635.6,4923.4,-195,700
16672,1,2914.6,5794.3,-195,700
16673,1,2091.6,7058.8,-195,700
16674,1,5410.9,4426.5,-185,700
16675,1,7921.1,5101.7,-185,700
16676,1,4268.6,5663.7,-185,700
16677,1,6249.9,6686.4,-185,700
16678,1,4073.7,7477.8,-185,700
16679,1,6497.8,8901.8,-185,700
16680,1,3481.6,5456.7,-175,700
16681,1,2958.1,6326.4,-175,700
16682,1,3009.4,1743.2,-165,700
16683,1,4945.7,1752.9,-165,700
16684,1,2137.7,4518.7,-165,700
16685,1,1599.9,8401.1,-165,700
16686,1,5300.4,11753,-165,700
16687,1,3939.3,4419,-155,700
16688,1,6341,6884.6,-155,700
16689,1,1200.5,8140.2,-155,700
16690,1,2657.6,10124,-155,700
16691,1,6682.1,10598,-155,700
16692,1,3124.2,10866,-155,700
16693,1,3947.5,1552.5,-145,700
16694,1,1897.9,3264.4,-145,700
16695,1,8037.3,3824.7,-145,700
16696,1,5752.2,3830.6,-145,700
16697,1,7937.9,5297,-145,700
16698,1,1558.7,5351,-145,700
16699,1,8273.8,5886.1,-145,700
16700,1,3511.7,10226,-145,700
16701,1,8328.3,5509.4,-135,700
16702,1,3266.9,8215.5,-135,700
16703,1,2567.2,8308.2,-135,700
16704,1,5626.5,9521.3,-135,700
16705,1,5300.5,10719,-135,700
16706,1,3288.9,11939,-135,700
16707,1,4109,12228,-135,700
16708,1,4393.3,1089.7,-125,700
16709,1,5335.2,2115.7,-125,700
16710,1,3191.5,3216,-125,700
16711,1,4232.4,3833.4,-125,700
16712,1,8230.2,4051.2,-125,700
16713,1,3321.7,10341,-125,700
16714,1,5404.7,1495.1,-115,700
16715,1,3903.8,3446,-115,700
16716,1,2483.7,4003.5,-115,700
16717,1,1604.3,4220.2,-115,700
16718,1,1686.4,9327.8,-115,700
16719,1,3863.2,3533.2,-105,700
16720,1,7768.9,5372.7,-105,700
16721,1,1764.3,8268.6,-105,700
16722,1,4525.8,9612.4,-105,700
16723,1,2022.8,10776,-105,700
16724,1,5222.5,11196,-105,700
16725,1,4765.1,11260,-105,700
16726,1,3460.1,11271,-105,700
16727,1,4970.1,1500,-95,700
16728,1,5347.2,4448.5,-95,700
16729,1,2487.4,5983.2,-95,700
16730,1,2634.5,7637.4,-95,700
16731,1,7401,8959.8,-95,700
16732,1,3501.3,9676.8,-95,700
16733,1,1439,9862.8,-95,700
16734,1,6959.2,10182,-95,700
16735,1,3566.8,10436,-95,700
16736,1,5270.5,12028,-95,700
16737,1,5675.9,12188,-95,700
16738,1,4084.4,1570.4,-85,700
16739,1,6086,2702.4,-85,700
16740,1,4567.7,4544.5,-85,700
16741,1,7372.4,4714.9,-85,700
16742,1,1096.3,5853.4,-85,700
16743,1,8297.4,7138.7,-85,700
16744,1,3408.3,9321.2,-85,700
16745,1,2706.8,10079,-85,700
16746,1,6904.8,10624,-85,700
16747,1,6409.1,10639,-85,700
16748,1,4296.9,10744,-85,700
16749,1,4409.9,11365,-85,700
16750,1,4563.6,1458.5,-75,700
16751,1,5575.4,1920.5,-75,700
16752,1,6171.5,2834.6,-75,700
16753,1,4137.9,3515.2,-75,700
16754,1,7468.1,7541.1,-75,700
16755,1,1832.9,7627.7,-75,700
16756,1,4613.7,9142.8,-75,700
16757,1,2666.4,11134,-75,700
16758,1,3669.9,11550,-75,700
16759,1,3473.9,12406,-75,700
16760,1,3587.6,2766.6,-65,700
16761,1,4088.1,3478.3,-65,700
16762,1,7037.8,4915.4,-65,700
16763,1,7452.3,7135.4,-65,700
16764,1,1115.8,7608.4,-65,700
16765,1,7128.6,8225,-65,700
16766,1,4850.1,9559.1,-65,700
16767,1,4636,2597.2,-55,700
16768,1,2597,2608.1,-55,700
16769,1,3438.1,4557.9,-55,700
16770,1,1228.6,4871.4,-55,700
16771,1,4408.3,5233.7,-55,700
16772,1,1568.2,8991.6,-55,700
16773,1,5401,11323,-55,700
16774,1,6671,11596,-55,700
16775,1,5083.1,12441,-55,700
16776,1,2184.7,4113.8,-45,700
16777,1,2547.4,4179,-45,700
16778,1,8288.4,4809.9,-45,700
16779,1,2099,5304.5,-45,700
16780,1,2446,6040.1,-45,700
16781,1,2473.3,7951.8,-45,700
