id,frame,x [nm],y [nm],z [nm],centroid [nm]
16429,1,5419.5,8760.8,-495,700
16430,1,4057.6,9545.1,-465,700
16431,1,2329.8,2267,-455,700
16432,1,7097.6,9814,-445,700
16433,1,4694.6,2185.2,-435,700
16434,1,5300.6,2688.6,-425,700
16435,1,5235.7,1366.8,-415,700
16436,1,4316,3699.2,-415,700
16437,1,6834.1,7041.6,-405,700
16438,1,1532.6,6921.2,-395,700
16439,1,2770.6,10107,-395,700
16440,1,6441.2,4247,-385,700
16441,1,6055.5,8073.1,-385,700
16442,1,2958.5,11362,-385,700
16443,1,1715.4,3101.8,-375,700
16444,1,1585.3,5688,-365,700
16445,1,3129.8,7456.2,-365,700
16446,1,7979.8,7828.8,-365,700
16447,1,6157.4,9929.4,-365,700
16448,1,4894,11936,-365,700
16449,1,4714.5,4508.4,-355,700
16450,1,4275.5,10308,-355,700
16451,1,5393.1,11971,-355,700
16452,1,1602.3,3220.1,-345,700
16453,1,1495.3,4232.9,-345,700
16454,1,7728.8,9070.2,-345,700
16455,1,1951.9,6840.4,-335,700
16456,1,5688.5,11445,-335,700
16457,1,1086.7,7348.4,-325,700
16458,1,6394.5,9218.8,-325,700
16459,1,2585.7,2512.9,-315,700
16460,1,7108.7,2667,-315,700
16461,1,1093,5120.1,-315,700
16462,1,6398.2,7133.4,-315,700
16463,1,5820.1,10735,-315,700
16464,1,3538.9,3674.2,-295,700
16465,1,997.52,7338.1,-295,700
16466,1,2229.9,8336.5,-295,700
16467,1,1666.4,9702.5,-295,700
16468,1,3901.6,10129,-295,700
16469,1,3603.4,2622.5,-285,700
16470,1,1525.9,7035.2,-285,700
16471,1,3621.4,8209.8,-285,700
16472,1,3058.9,2056.7,-275,700
16473,1,6164.3,2065.4,-275,700
16474,1,1955,2757,-275,700
16475,1,5324.2,4493,-275,700
16476,1,5349.8,10473,-275,700
16477,1,4761.7,10895,-275,700
16478,1,3271.3,2453.9,-265,700
16479,1,5046.1,7682.3,-265,700
16480,1,5899.8,8250.5,-265,700
16481,1,8081.6,8333.6,-265,700
16482,1,6386.7,9041.5,-265,700
16483,1,5567.8,925.36,-255,700
16484,1,2383.2,3803.9,-255,700
16485,1,1104.3,4020.7,-255,700
16486,1,5775.9,4807.4,-255,700
16487,1,2414.8,3609.6,-245,700
16488,1,1590.4,3958.2,-245,700
16489,1,1823.9,5125.5,-245,700
16490,1,4736.7,8399.1,-245,700
16491,1,6913.9,10491,-245,700
16492,1,5781.7,1253.9,-235,700
16493,1,5826.5,3161.3,-235,700
16494,1,4245.2,3365.5,-235,700
16495,1,2518.6,8040,-235,700
16496,1,7816.6,8635.4,-235,700
16497,1,4899.4,9835.6,-235,700
16498,1,2054.4,10158,-235,700
16499,1,5723.6,1473.6,-225,700
16500,1,5155.8,1906.3,-225,700
16501,1,3644.9,7421.4,-225,700
16502,1,6711.1,9421.1,-225,700
16503,1,7513.2,4092.3,-215,700
16504,1,2567.8,4239.3,-215,700
16505,1,6787.7,7437,-215,700
16506,1,3072.3,7621.3,-215,700
16507,1,5607.6,6539.1,-205,700
16508,1,5567.6,6948.7,-205,700
16509,1,2783.1,11215,-205,700
16510,1,5818.8,2417.9,-195,700
16511,1,2140.7,2765.9,-195,700
16512,1,2435.1,2864.9,-195,700
16513,1,2398.3,8487.9,-195,700
16514,1,5495.3,11362,-195,700
16515,1,7819.7,3479.4,-185,700
16516,1,7377,3887,-185,700
16517,1,6399.1,9218.1,-185,700
16518,1,5248.7,12604,-185,700
16519,1,4769.2,1589.6,-175,700
16520,1,4229.9,8837.8,-175,700
16521,1,5832.9,8849.1,-175,700
16522,1,4605.8,9870.4,-175,700
16523,1,5998.9,1232.1,-165,700
16524,1,7240.8,10351,-165,700
16525,1,4767,2249.7,-155,700
16526,1,5422.9,2813.3,-155,700
16527,1,6113.9,3001,-155,700
16528,1,2423.4,3213,-155,700
16529,1,4821.2,3573.6,-155,700
16530,1,8036.3,4807.7,-155,700
16531,1,7282.8,4952.5,-155,700
16532,1,8245.1,4989,-155,700
16533,1,1934.2,6484.6,-155,700
16534,1,1216.8,6614.6,-155,700
16535,1,1136.9,7163.6,-155,700
16536,1,5607.2,8152.2,-155,700
16537,1,2150.5,9081.8,-155,700
16538,1,6849.6,2062.9,-145,700
16539,1,3986.2,4424.4,-145,700
16540,1,1428.8,4863,-145,700
16541,1,3728,10110,-145,700
16542,1,3160.3,12185,-145,700
16543,1,4036.3,1390.8,-135,700
16544,1,8099.8,3884,-135,700
16545,1,3336.4,5753.6,-135,700
16546,1,1825.5,6411.3,-135,700
16547,1,8000.5,7630,-135,700
16548,1,6303,7736.2,-135,700
16549,1,3686.1,12359,-135,700
16550,1,6907.3,2588.6,-125,700
16551,1,2990.2,5800.4,-125,700
16552,1,5756,7104.8,-125,700
16553,1,2888.2,9737.4,-125,700
16554,1,5294.8,1424.5,-115,700
16555,1,5873.8,2101,-115,700
16556,1,4998.9,2703.3,-115,700
16557,1,8003.1,5241.8,-115,700
16558,1,1440.2,6313.6,-115,700
16559,1,1306.4,9119.7,-115,700
16560,1,2580.4,10309,-115,700
16561,1,5787.9,11065,-115,700
16562,1,3370.7,11996,-115,700
16563,1,3452.5,2910.7,-105,700
16564,1,5072.8,3080.2,-105,700
16565,1,6845.3,3763.3,-105,700
16566,1,7871,3982.3,-105,700
16567,1,3500.2,5000.6,-105,700
16568,1,2907.1,6390.4,-105,700
16569,1,2305.4,7728.9,-105,700
16570,1,2412.3,10622,-105,700
16571,1,4443,11145,-105,700
16572,1,6335.7,2095.6,-95,700
16573,1,5647.7,3712.3,-95,700
16574,1,7662.5,6865,-95,700
16575,1,3121.4,7467.5,-95,700
16576,1,1198.8,7671,-95,700
16577,1,981.89,7769.5,-95,700
16578,1,2190.9,8089.6,-95,700
16579,1,1409.9,8534.4,-95,700
16580,1,3330.8,8682.8,-95,700
16581,1,3781.9,9511,-95,700
16582,1,1911.8,9736.4,-95,700
16583,1,3177.8,9868.3,-95,700
16584,1,2208.1,10112,-95,700
16585,1,3464.6,11395,-95,700
16586,1,5917.4,12137,-95,700
16587,1,6548.6,1627.9,-85,700
16588,1,4375.3,1633.3,-85,700
16589,1,4934.7,1700.7,-85,700
16590,1,2274.8,3883,-85,700
16591,1,5158.3,4407.2,-85,700
16592,1,7180.6,4474.4,-85,700
16593,1,3044.4,4878.7,-85,700
16594,1,7959,6398,-85,700
16595,1,3582.8,7357.1,-85,700
16596,1,7928.1,8614.2,-85,700
16597,1,2316.2,9994.3,-85,700
16598,1,5617.1,10496,-85,700
16599,1,4626.4,10994,-85,700
16600,1,4407.6,11350,-85,700
16601,1,6123.8,11886,-85,700
16602,1,3985,3027.9,-75,700
16603,1,7652.2,6781.6,-75,700
16604,1,3696.2,7319.2,-75,700
16605,1,4746,7984.5,-75,700
16606,1,6107.1,8379.5,-75,700
16607,1,1548,8469.3,-75,700
16608,1,3034.5,11223,-75,700
16609,1,3782,2860.7,-65,700
16610,1,6688.5,3086.8,-65,700
16611,1,5671.3,3395.5,-65,700
16612,1,7377.2,3488.5,-65,700
16613,1,6814.2,3975.6,-65,700
16614,1,5286.1,5218.7,-65,700
16615,1,7785.7,5531.4,-65,700
16616,1,2202.3,6255.7,-65,700
16617,1,3347,6824.9,-65,700
16618,1,1452.4,6890.2,-65,700
16619,1,4083.8,7544,-65,700
16620,1,6163.3,7818.5,-65,700
16621,1,1488,8651.7,-65,700
16622,1,1686,8770.9,-65,700
16623,1,3024.2,9273.1,-65,700
16624,1,6868.3,10074,-65,700
16625,1,3683.8,10636,-65,700
16626,1,2657.3,10641,-65,700
16627,1,7065.6,2600.4,-55,700
16628,1,5934.4,2641.2,-55,700
16629,1,7207.9,3346.2,-55,700
16630,1,3891.6,3573.1,-55,700
16631,1,2185.7,3630.2,-55,700
16632,1,2363.4,5236.4,-55,700
16633,1,3161.2,6980.4,-55,700
16634,1,1946.1,7233.4,-55,700
16635,1,2632.2,8083.7,-55,700
16636,1,4878.9,11693,-55,700
16637,1,5604.9,2215.5,-45,700
16638,1,5567.3,2774.5,-45,700
16639,1,6662.8,2850.7,-45,700
16640,1,1924.9,3167,-45,700
16641,1,2866,3203.9,-45,700
16642,1,6936.8,3382.5,-45,700
16643,1,7762.1,3962.8,-45,700
16644,1,770.69,6841.3,-45,700
16645,1,4395.5,8163.4,-45,700
16646,1,5590.8,8198.9,-45,700
16647,1,2437.1,8332.1,-45,700
