"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
1.0,1.0,15125.0,2475.9,104.43,104.43,391.87,100.23,14.648,665.03,0.0,1.0,0.0,-1.1345,661.27
3.0,1.0,19417.0,3382.3,234.87,234.87,1347.5,109.61,24.513,672.87,0.0,1.0,0.0,-1.3013,668.05
5.0,1.0,19244.0,4758.0,126.28,126.28,453.01,107.66,14.414,669.35,0.0,1.0,0.0,-0.64079,664.58
6.0,1.0,39387.0,4992.5,203.98,203.98,764.64,94.277,23.647,669.53,0.0,1.0,0.0,-1.5544,659.75
7.0,1.0,15556.0,5069.5,157.62,157.62,957.74,110.57,14.723,664.4,0.0,1.0,0.0,-0.17596,660.54
8.0,1.0,23704.0,5079.0,131.68,131.68,638.56,107.45,15.064,665.89,0.0,1.0,0.0,0.17019,660.0
9.0,1.0,7271.1,5397.7,136.53,136.53,1646.7,116.29,10.217,666.68,0.0,1.0,0.0,-0.082568,664.88
12.0,1.0,24162.0,6735.1,176.54,176.54,685.45,116.87,21.617,673.28,0.0,1.0,0.0,0.77454,667.28
14.0,1.0,8292.1,7677.2,133.05,133.05,532.92,99.19,17.602,664.26,0.0,1.0,0.0,-0.52634,662.21
16.0,1.0,32841.0,8506.4,172.44,172.44,941.97,100.43,20.496,675.56,0.0,1.0,0.0,-0.013329,667.41
17.0,1.0,29130.0,9226.1,271.37,271.37,2666.4,69.677,20.853,676.48,0.0,1.0,0.0,0.74252,669.25
19.0,1.0,27240.0,10468.0,167.66,167.66,1752.2,107.4,11.081,675.91,0.0,1.0,0.0,-0.17867,669.16
22.0,1.0,38808.0,12744.0,149.45,149.45,1354.6,97.923,12.988,669.09,0.0,1.0,0.0,-1.1101,659.46
26.0,1.0,29021.0,15337.0,148.92,148.92,2002.3,121.91,9.0363,671.59,0.0,1.0,0.0,-0.36536,664.39
27.0,1.0,41264.0,15587.0,163.84,163.84,2215.1,101.41,11.363,677.02,0.0,1.0,0.0,0.48308,666.79
34.0,1.0,15225.0,20648.0,152.67,152.67,1575.6,117.06,8.2984,668.04,0.0,1.0,0.0,-1.3179,664.26
35.0,1.0,40127.0,20734.0,132.35,132.35,567.74,86.188,20.656,678.08,0.0,1.0,0.0,2.0828,668.12
36.0,1.0,12539.0,21074.0,124.8,124.8,1533.3,116.25,7.3556,669.31,0.0,1.0,0.0,0.74287,666.2
37.0,1.0,11275.0,21098.0,123.89,123.89,1399.3,102.49,8.0756,663.64,0.0,1.0,0.0,-0.055948,660.84
38.0,1.0,41391.0,22209.0,247.39,247.39,1709.2,94.894,19.166,676.99,0.0,1.0,0.0,-1.054,666.72
39.0,1.0,26825.0,23322.0,175.85,175.85,1275.4,110.42,13.517,672.31,0.0,1.0,0.0,-0.56731,665.65
40.0,1.0,14849.0,23459.0,163.45,163.45,1156.1,108.39,16.791,666.63,0.0,1.0,0.0,-0.5519,662.94
42.0,1.0,932.21,25550.0,159.31,159.31,4567.7,91.62,8.5336,666.86,0.0,1.0,0.0,0.046542,666.63
43.0,1.0,9699.6,27392.0,165.8,165.8,2380.2,100.22,9.4738,669.27,0.0,1.0,0.0,0.26633,666.86
44.0,1.0,33433.0,27528.0,150.06,150.06,559.95,100.23,21.284,674.53,0.0,1.0,0.0,-0.29541,666.23
45.0,1.0,35333.0,28103.0,157.46,157.46,1637.0,100.27,10.36,669.46,0.0,1.0,0.0,-0.1076,660.7
47.0,1.0,33731.0,29415.0,125.78,125.78,412.36,92.84,20.974,675.21,0.0,1.0,0.0,-0.57268,666.84
48.0,1.0,6949.6,29467.0,143.64,143.64,1865.1,90.358,8.2896,670.7,0.0,1.0,0.0,0.26363,668.97
51.0,1.0,38836.0,29987.0,158.9,158.9,2634.9,88.999,9.3185,668.86,0.0,1.0,0.0,0.75766,659.23
55.0,1.0,34586.0,31765.0,142.83,142.83,1762.5,83.711,6.6248,671.17,0.0,1.0,0.0,0.64566,662.59
56.0,1.0,12068.0,32312.0,142.97,142.97,3367.6,94.1,7.4299,666.32,0.0,1.0,0.0,0.3476,663.32
58.0,1.0,23642.0,34061.0,173.44,173.44,1295.7,92.773,16.755,667.47,0.0,1.0,0.0,0.02899,661.61
59.0,1.0,34047.0,34456.0,139.68,139.68,2314.2,91.326,9.3863,670.08,0.0,1.0,0.0,0.87595,661.64
63.0,1.0,24842.0,36641.0,130.47,130.47,632.22,83.069,12.34,665.66,0.0,1.0,0.0,-0.18773,659.49
64.0,1.0,37427.0,36935.0,162.61,162.61,1949.9,85.749,9.334,674.63,0.0,1.0,0.0,0.34866,665.35
