"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,774.3194056337535,4005.1561642541296,152.45849058940476,154.18640257189568,35.851694495824084,4.958218087849094,36.30044896495875
2.0,1.0,2079.8756446070515,10479.086071118763,216.4811666717666,314.20900498237205,35.09223166831355,5.820656316580341,41.44655954614215
3.0,1.0,2464.6081848935473,34610.137965360926,313.5738163028073,560.1748311923596,27.963467376486943,5.047621728986076,42.51945742575302
4.0,1.0,3483.1363582687586,35614.17548553467,317.6199719637316,934.296786554062,27.13752509140559,4.737909306918147,25.54738091334793
5.0,1.0,4615.550446544432,7455.311178195273,141.80273094394613,218.53229595776753,36.13293822627657,5.672494166085397,25.738861592372178
6.0,1.0,6081.698796841292,5949.361927717548,156.0548725233357,439.52893258612755,38.39118664805875,6.734834307451133,18.626084831728623
7.0,1.0,6281.670409544698,3567.625486948801,212.2239659598804,477.1289684075756,36.85810427891856,6.134815346284398,28.161629458646022
9.0,1.0,8146.335923813587,41675.56332277527,134.5985539993465,203.37189022454405,29.431999826411964,4.403104208509163,20.337154648647292
10.0,1.0,9619.091456172046,14637.479583326925,276.5009702039709,476.88057230134586,37.526891661132275,5.967404600716218,45.425542137447465
11.0,1.0,11314.595614398773,5940.317281695037,161.05800868430492,169.37600736821432,40.03537586429429,5.023124551120206,37.260124398889815
12.0,1.0,11606.936596640895,15380.827176547775,178.76967538137842,254.25705635322487,42.40868741468163,4.879757336173984,30.18397385274823
13.0,1.0,13115.977763734238,1743.239572053196,154.9204792702872,467.3740239205124,43.28093803604169,8.127374618760795,20.378980144347107
14.0,1.0,13712.447221852339,6462.44485689624,157.1452299428931,207.08488479983305,41.386894048724386,6.054763390402488,34.7410337914329
15.0,1.0,13789.99871422216,37380.89420673822,279.102872690829,528.8643891867816,32.20976466745748,4.74389777641554,34.10763148991517
17.0,1.0,15925.882540633964,31602.979209481022,202.15516020918471,705.9092907780147,39.624592018186675,6.488857975368846,18.773172605445154
18.0,1.0,15965.634552455773,21096.878362046693,175.4469793111973,205.3708932080624,41.24721290431485,5.189827357187397,37.571169971916945
19.0,1.0,16023.695817834898,25141.299549011932,143.95274623592326,136.15317942769443,42.23020729707233,5.613693470959673,40.937434217195154
20.0,1.0,16427.19218140727,1907.9268439687467,119.2290108464058,107.18806549375529,42.5939049713929,5.374794545156183,34.60375809277503
21.0,1.0,17339.87380105187,35537.383912493264,164.53846554334405,454.8716434391873,38.46024861589117,7.2456217179757525,21.166259316491193
22.0,1.0,18986.590573462112,31822.353554169527,122.25388923322285,132.45311002861686,41.030205714908035,4.778008163616646,26.9114691313348
23.0,1.0,19233.094998847962,24431.140447679627,220.94592416106593,558.7759401174648,43.348329740746294,6.9809290310798024,29.355743408927435
24.0,1.0,19336.81705546591,35080.495528324114,213.71351233056507,354.5446514199759,36.593279909167876,5.0015138936109365,31.526772013673487
25.0,1.0,22424.14352227375,22753.85766017941,290.8045731210121,437.97547218868255,42.66039607647905,5.353003560657529,49.1363087432829
26.0,1.0,23725.376550729772,21717.59201291217,168.44347305132922,351.191997032207,46.98221716091837,6.3608544638860955,25.143750146364575
27.0,1.0,24906.197957913504,34390.57226220565,168.1635859743492,252.90070550037572,42.153332013931305,5.90935151158778,31.979850453698415
28.0,1.0,28334.58240097829,11746.978686397242,201.94476862114044,1204.7345870992197,50.7565907023691,10.538069135619846,17.291750656865926
29.0,1.0,28618.852759691454,14266.184815684019,65.43238063213214,60.93488740726938,46.323766860294526,4.328439633219927,16.700965402144092
