"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
2.0,1.0,27263.0,2377.0,182.0,182.0,1023.2,46.457,14.319,705.7,0.0,1.0,0.0,-0.74818,701.72
3.0,1.0,8287.3,3034.9,288.76,288.76,2385.7,44.605,12.732,698.0,0.0,1.0,0.0,-0.57311,696.79
5.0,1.0,23988.0,3748.1,141.1,141.1,475.72,42.999,16.63,692.99,0.0,1.0,0.0,-0.4587,689.49
6.0,1.0,42943.0,4406.2,99.918,99.918,212.74,36.623,20.769,709.93,0.0,1.0,0.0,-0.81148,703.67
8.0,1.0,49633.0,5486.1,163.67,163.67,459.01,22.756,21.917,710.45,0.0,1.0,0.0,-1.708,703.22
9.0,1.0,13147.0,6435.5,172.24,172.24,922.36,46.487,14.114,703.57,0.0,1.0,0.0,-0.59055,701.66
10.0,1.0,40601.0,6494.5,169.38,169.38,603.59,39.64,18.053,706.7,0.0,1.0,0.0,-0.69353,700.78
12.0,1.0,25689.0,7346.9,115.92,115.92,197.16,44.673,26.222,693.76,0.0,1.0,0.0,0.58886,690.02
14.0,1.0,38554.0,7557.0,183.46,183.46,388.08,42.07,31.219,708.82,0.0,1.0,0.0,-0.44969,703.2
16.0,1.0,21340.0,8565.1,165.22,165.22,1109.4,47.875,10.572,706.73,0.0,1.0,0.0,0.23701,703.62
18.0,1.0,49130.0,9107.2,110.1,110.1,201.3,30.546,18.462,705.44,0.0,1.0,0.0,-0.38118,698.28
19.0,1.0,24215.0,10366.0,132.89,132.89,740.21,45.955,11.06,697.7,0.0,1.0,0.0,0.25417,694.17
20.0,1.0,26942.0,10921.0,133.89,133.89,1048.1,50.825,9.6793,706.07,0.0,1.0,0.0,-0.80318,702.14
25.0,1.0,4683.0,15922.0,111.23,111.23,128.17,42.372,33.4,694.27,0.0,1.0,0.0,-0.63727,693.59
27.0,1.0,52783.0,16566.0,195.83,195.83,554.21,27.391,22.602,702.06,0.0,1.0,0.0,0.65363,694.36
28.0,1.0,29574.0,16609.0,149.01,149.01,578.01,16.545,15.022,697.72,0.0,1.0,0.0,-1.2953,693.41
29.0,1.0,10296.0,18697.0,130.86,130.86,512.49,44.145,12.745,694.76,0.0,1.0,0.0,0.89013,693.26
30.0,1.0,11900.0,19145.0,138.77,138.77,434.86,45.027,17.718,699.51,0.0,1.0,0.0,1.8872,697.78
33.0,1.0,2820.7,19605.0,153.62,153.62,1141.9,39.395,10.613,696.5,0.0,1.0,0.0,0.23753,696.09
35.0,1.0,30136.0,21222.0,174.83,174.83,954.43,44.565,15.537,705.72,0.0,1.0,0.0,0.27046,701.32
36.0,1.0,44773.0,21730.0,147.09,147.09,344.08,35.32,23.026,701.09,0.0,1.0,0.0,-0.18514,694.56
38.0,1.0,53645.0,23257.0,153.44,153.44,648.38,28.671,13.135,707.08,0.0,1.0,0.0,0.42661,699.26
39.0,1.0,49673.0,23539.0,144.29,144.29,985.4,32.415,9.7759,697.71,0.0,1.0,0.0,0.36387,690.47
40.0,1.0,20000.0,24278.0,128.83,128.83,1139.7,50.377,8.342,697.9,0.0,1.0,0.0,0.42404,694.98
41.0,1.0,46590.0,24758.0,95.574,95.574,181.77,30.807,16.73,706.99,0.0,1.0,0.0,0.75439,700.2
42.0,1.0,17444.0,25729.0,146.4,146.4,1295.8,46.965,8.9917,704.03,0.0,1.0,0.0,0.38296,701.49
