186742
 Atoms. Timestep: 1300
1 -53.9781 -3.17581 -12.1302
1 -53.5957 -1.58489 -15.1753
1 -51.9732 -0.0926989 -10.2736
1 -53.2322 0.668277 -11.5005
1 -51.4383 0.553663 -10.9039
1 -52.1893 -2.77039 -12.2661
1 -51.2655 -0.404532 -11.1751
1 -52.8421 -2.23115 -15.3795
1 -53.7123 -0.43203 -15.3961
1 -51.1767 -0.98723 -14.9179
1 -52.8505 -1.01446 -15.5631
1 -52.6648 -1.5354 -14.6682
1 -48.1851 -1.66716 -14.6117
1 -48.7566 0.734627 -16.9629
1 -47.7666 1.42907 -17.7086
1 -47.244 2.2896 -15.9737
1 -46.7123 1.50676 -18.1418
1 -45.7131 4.99161 -18.3715
1 -47.3016 1.73274 -16.8462
1 -45.8225 1.52822 -17.6413
1 -46.5695 3.53374 -17.9398
1 -46.7596 2.54064 -18.1653
1 -46.1063 3.7233 -16.988
1 -45.0081 2.4138 -17.8967
1 -46.1513 2.86545 -16.327
1 -49.6333 2.75701 -16.4603
1 -46.3148 2.02829 -16.874
1 -45.8889 2.71552 -17.5032
1 -47.9664 2.89931 -17.6135
1 -47.1245 3.20971 -16.9077
1 -48.1889 2.2536 -16.8029
1 -49.5781 0.514099 -17.5063
1 -50.2054 -0.272245 -16.37
1 -50.9154 -0.330986 -15.6424
1 -50.1047 -2.35157 -17.4419
1 -50.339 -1.13839 -15.8686
1 -52.4209 1.10806 -14.3604
1 -51.6357 0.733869 -13.847
1 -52.3105 0.28211 -15.1059
1 -51.6658 0.307994 -15.8851
1 -51.1477 1.92446 -15.2424
1 -52.6201 0.944715 -15.8039
1 -51.8032 1.15032 -15.2061
1 -50.7229 1.51176 -13.3166
1 -49.9027 1.97521 -13.6982
1 -51.5935 1.81842 -12.41
1 -49.9678 2.50378 -12.6848
1 -51.364 0.862149 -12.8834
1 -51.3254 1.64604 -14.1849
1 -49.7036 -0.590774 -15.3001
1 -50.1512 -0.788355 -17.2358
1 -50.0308 1.28318 -15.5814
1 -48.5315 0.0886562 -19.0226
1 -49.6953 -0.184278 -18.9301
