id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
1.0,1.0,12614.73614576576,27594.963822150363,439.7644244326406,26.627,697.86,184.0
2.0,1.0,13838.285367045593,19593.748241286226,563.4105735753586,12.98,697.86,4637.0
3.0,1.0,16089.123394862,27176.562540299838,689.6784582213774,17.973,697.86,586.0
4.0,1.0,14127.31124131062,15937.713532846763,449.2602164841765,18.691,697.86,4627.0
5.0,1.0,11628.905736766115,17107.67859919957,862.848265068314,12.706,697.86,2378.0
6.0,1.0,5519.77990610665,14596.162637573048,639.535111434221,12.321,697.86,2593.0
7.0,1.0,15004.891146817574,21232.23748993378,480.62751168276884,24.955,697.86,2286.0
8.0,1.0,15694.785233764518,16219.2296700183,553.5175100304089,10.709,697.86,1614.0
9.0,1.0,13281.850628781132,19315.980636099004,230.57598131067127,20.173,697.86,2830.0
10.0,1.0,11369.581290573371,24295.455136280605,615.1989651574704,14.985,697.86,1393.0
11.0,1.0,16007.166485513577,21856.521927231806,595.6514777283517,11.316,697.86,2042.0
12.0,1.0,12486.632140067013,21898.91585720148,176.94438159960475,11.626,697.86,2254.0
13.0,1.0,17255.612693477015,18674.95752803402,365.9778122247022,17.913,697.86,2070.0
14.0,1.0,17945.366823765962,25710.58440245095,105.8342401814444,19.775,697.86,772.0
15.0,1.0,16681.950472018674,28819.62544560877,1046.640252518127,8.0357,697.86,556.0
16.0,1.0,14037.124572088558,23526.77752411011,390.4653713082623,28.455,697.86,4385.0
17.0,1.0,15972.751240542191,15041.029735362521,738.9363994890105,13.062,697.86,4163.0
18.0,1.0,14703.633214400388,21247.74388044536,150.27146987923743,15.639,697.86,2286.0
19.0,1.0,15029.785734253373,16088.83748549061,367.3031021084242,29.842,697.86,4678.0
20.0,1.0,4223.270632504962,18134.882871657708,761.8379580761948,16.666,697.86,4919.0
21.0,1.0,12196.186582691842,13816.401439093343,447.4800322593582,18.38,697.86,3120.0
22.0,1.0,14714.424632169636,25044.51725006354,499.3320606950425,13.075,697.86,1734.0
23.0,1.0,14044.528957436336,16494.218057657214,428.5420658838672,18.413,697.86,1575.0
24.0,1.0,4474.293965086612,16501.397079331335,667.4968637835252,17.017,697.86,4933.0
25.0,1.0,20623.186178598513,18652.453004411316,558.7163127571072,26.699,697.86,4573.0
26.0,1.0,16058.019235546568,18010.154067568023,571.6437766984319,7.16,697.86,1537.0
27.0,1.0,8026.32218946002,14370.327370660105,809.5131893897268,10.37,697.86,4491.0
28.0,1.0,13074.221500119284,16348.062262583602,873.710892827321,32.439,697.86,3211.0
29.0,1.0,8529.259848864038,21169.69686592538,176.1944683778127,16.213,697.86,314.0
30.0,1.0,11522.183336094911,19278.853236725492,421.26674718613003,31.706,697.86,2836.0
31.0,1.0,20398.03198352678,23692.01329337498,875.5431847938559,14.253,697.86,4065.0
32.0,1.0,6175.546909886428,15403.530228872221,1036.6725264919608,12.481,697.86,4441.0
33.0,1.0,5001.09545422425,17652.298187262237,662.4475724595968,13.819,697.86,2297.0
34.0,1.0,6519.148896612559,23521.614445188487,655.9628260645061,29.552,697.86,1665.0
35.0,1.0,12764.049061324986,25694.327052893055,123.32106137474011,24.812,697.86,2540.0
36.0,1.0,14890.13793017221,20208.270492273554,374.08341668175785,6.8672,697.86,2803.0
37.0,1.0,11748.97996575958,27056.14047308631,189.6601425466683,30.851,697.86,4213.0
38.0,1.0,11175.637231853687,23432.802349690457,482.8870992054862,9.7554,697.86,1122.0
39.0,1.0,7871.925628026983,24936.15625379221,662.5369831392773,7.9705,697.86,338.0
40.0,1.0,12093.083714032811,20882.652387830774,576.0780876803441,25.295,697.86,2467.0
41.0,1.0,7441.648413303171,19540.572299400927,465.00564686893256,17.105,697.86,1017.0
42.0,1.0,13272.019943936362,19875.687654547193,427.8377313330393,29.249,697.86,2026.0
43.0,1.0,6101.968261745562,20311.61423848301,716.0273683655067,17.473,697.86,2188.0
44.0,1.0,19241.078936025835,17900.607356411103,543.1001589263069,18.843,697.86,3643.0
45.0,1.0,10573.345510300775,19018.866952646295,763.5783679096346,12.112,697.86,311.0
46.0,1.0,14689.365000559168,28297.05077243971,270.93909366755076,22.879,697.86,597.0
47.0,1.0,18371.011089728498,15956.426010004445,1109.8165718869159,14.701,697.86,496.0
48.0,1.0,14204.709060590989,21253.114170445446,892.185190554768,13.365,697.86,1775.0
49.0,1.0,7790.702327174952,21647.602003393815,586.7685497769287,12.759,697.86,1033.0
50.0,1.0,12563.155155987128,25105.76276842701,378.86286595255615,27.304,697.86,1472.0
51.0,1.0,14057.296304339821,24248.09742794715,-111.952570591013,22.343,697.86,4403.0
52.0,1.0,16686.204363195597,19538.852644661045,347.782358966589,8.2435,697.86,2030.0
53.0,1.0,14142.28905044608,26540.43734126771,701.9240887491285,11.052,697.86,1793.0
