id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
1.0,1.0,7916.599519919386,18404.12627770008,671.0,8.8157,672.32,-1.0
2.0,1.0,11753.460293730954,26510.84115183447,279.9711209047724,13.388,672.32,1601.0
3.0,1.0,8325.588594404,24915.595343235997,847.0,5.9227,672.32,-1.0
4.0,1.0,6714.931179760546,14411.42007943616,50.0,19.116,672.32,-1.0
5.0,1.0,7744.914300949234,23746.62002599817,689.0,7.5861,672.32,-1.0
6.0,1.0,5264.911930458027,21352.28309690106,512.0,20.527,672.32,-1.0
7.0,1.0,14517.636108652438,16865.493834078996,749.2961328998722,10.439,672.32,1076.0
8.0,1.0,10394.875282326135,18629.36974014045,569.0,10.448,672.32,-1.0
9.0,1.0,3428.147572502442,20685.04877802149,316.33733094865397,7.2972,672.32,1831.0
10.0,1.0,19175.533047255005,26461.525028201824,-121.03827935881179,14.544,672.32,1854.0
11.0,1.0,14525.720510452651,14187.431307720391,562.0,7.5845,672.32,-1.0
12.0,1.0,19377.305426708124,26222.56793953153,1263.7258826436575,22.743,672.32,1849.0
13.0,1.0,12314.214496297092,13768.400342416091,730.4135832530851,9.3537,672.32,370.0
14.0,1.0,19618.30724794173,25248.639774481184,556.0165909054749,10.995,672.32,661.0
15.0,1.0,5100.971678124165,16809.411195195673,154.80013002627703,25.858,672.32,2388.0
16.0,1.0,6360.4559392273995,15149.590969397803,784.5669161892664,9.9726,672.32,2175.0
17.0,1.0,18720.979390512548,18101.025171251797,680.7680565871494,19.794,672.32,1152.0
18.0,1.0,10345.341676633361,14806.146409310642,875.8720321244995,13.852,672.32,2502.0
19.0,1.0,9502.7255325373,24441.518860196964,733.8985932029967,33.28,672.32,1291.0
20.0,1.0,12631.897557292086,18557.939575898505,519.0,9.3272,672.32,-1.0
21.0,1.0,18427.17408362613,18136.328138127566,761.7373725887893,15.357,672.32,1152.0
22.0,1.0,7255.071896875691,21490.14193692148,595.4861351608523,16.613,672.32,1944.0
23.0,1.0,9272.761884836438,16420.90054886359,414.1275779159866,14.777,672.32,2155.0
24.0,1.0,18186.4261787315,25973.583116460955,342.0,18.93,672.32,-1.0
25.0,1.0,3480.26595181957,18861.914529674967,1001.5364768978026,13.069,672.32,808.0
26.0,1.0,12625.31970662244,18047.362198436873,575.0,10.039,672.32,-1.0
27.0,1.0,14914.270336449432,17432.296321139682,607.9067859144459,22.087,672.32,976.0
28.0,1.0,6720.330979294329,21651.020017724637,1001.0,10.773,672.32,-1.0
29.0,1.0,15067.18348912007,23176.762415763034,859.0403095566323,11.23,672.32,236.0
30.0,1.0,5647.869521505208,19762.261985586596,721.2240547797885,17.528,672.32,290.0
31.0,1.0,5531.781216893574,22888.032949261677,319.70963214272126,15.791,672.32,2424.0
32.0,1.0,4742.402817467711,21100.636444008553,1126.9511653488123,7.7883,672.32,1983.0
33.0,1.0,9506.257012420221,20562.60644608239,625.0,28.175,672.32,-1.0
34.0,1.0,13867.918869985215,13502.54760152704,765.0,6.2782,672.32,-1.0
35.0,1.0,20671.095159870438,21734.39811202125,148.88621341695884,21.943,672.32,1275.0
36.0,1.0,22819.98570088646,24105.813297797027,530.581382690088,14.535,672.32,622.0
37.0,1.0,14664.500037897715,19492.677489762427,370.9731741742004,6.4369,672.32,1511.0
38.0,1.0,10695.056082787778,13592.188358044772,211.9006185429118,23.702,672.32,1390.0
39.0,1.0,10832.49357691563,20413.30613149934,866.5319824461928,10.057,672.32,294.0
40.0,1.0,11191.166638313149,19811.961930077723,655.2278384625397,18.421,672.32,295.0
41.0,1.0,22349.256249529193,21101.798742774303,445.03308629319474,21.735,672.32,2051.0
42.0,1.0,8908.301187418921,24004.007160189045,529.0,13.904,672.32,-1.0
43.0,1.0,22449.62611464567,22856.82337133465,508.0,16.802,672.32,-1.0
44.0,1.0,8955.220442897742,21785.465274242957,647.465701159294,7.7394,672.32,761.0
45.0,1.0,9095.968405768626,18732.524866347394,497.41216668449147,29.817,672.32,1822.0
46.0,1.0,17865.17122679367,27799.52066119419,909.1490690318815,8.2749,672.32,383.0
47.0,1.0,12411.885630636554,26492.10633913185,519.1510461908846,26.281,672.32,774.0
48.0,1.0,16471.13471104857,15333.568586999922,265.8763136527531,7.9162,672.32,1022.0
49.0,1.0,16217.66564988046,23854.18687615366,861.7251221001857,9.1138,672.32,2046.0
50.0,1.0,6716.078802111464,15514.60287978774,658.2796348730601,26.778,672.32,2548.0
51.0,1.0,16537.73428662534,17721.44432797443,571.0,16.569,672.32,-1.0
52.0,1.0,13829.060008113029,22567.454769120297,1002.6678851922563,9.2933,672.32,1498.0
53.0,1.0,18458.608325520858,19881.894897699243,622.0558371952096,12.903,672.32,320.0
54.0,1.0,12923.283008247616,19283.594477615283,780.0,10.043,672.32,-1.0
55.0,1.0,19198.969803168977,27514.265490790982,433.6746182748652,10.841,672.32,1119.0
56.0,1.0,7265.05901023789,21944.242955051297,653.9399067094818,14.121,672.32,532.0
57.0,1.0,17690.810767057203,21829.320774674194,659.7207551501829,14.979,672.32,2365.0
58.0,1.0,6928.83852503832,22076.969198879917,681.0,19.096,672.32,-1.0
59.0,1.0,12742.856668890676,18889.841196985482,459.97248385165847,8.6042,672.32,216.0
60.0,1.0,4802.944755116068,21795.311924883747,504.0,11.506,672.32,-1.0
