config_name,alpha,phi,n_domains
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-1.txt.gz,1.1,0.08,41.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-10.txt.gz,1.1,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-100.txt.gz,1.1,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-1000.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-101.txt.gz,1.1,0.08,49.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-102.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-103.txt.gz,1.1,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-104.txt.gz,1.1,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-105.txt.gz,1.1,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-106.txt.gz,1.1,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-107.txt.gz,1.1,0.08,51.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-108.txt.gz,1.1,0.08,38.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-109.txt.gz,1.1,0.08,42.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-11.txt.gz,1.1,0.08,45.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-110.txt.gz,1.1,0.08,48.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-111.txt.gz,1.1,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-112.txt.gz,1.1,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-113.txt.gz,1.1,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-114.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-115.txt.gz,1.1,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-116.txt.gz,1.1,0.08,45.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-117.txt.gz,1.1,0.08,49.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-118.txt.gz,1.1,0.08,47.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-119.txt.gz,1.1,0.08,44.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-12.txt.gz,1.1,0.08,44.0
